City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Walvis Bay,NA,-22.9575,14.5053,288.76,78,28,1.71,scattered clouds
277,Broken Hill,AU,-31.95,141.4333,299.23,31,46,7.5,scattered clouds
278,Blagoyevo,RU,63.3667,47.9167,274.47,79,96,4.38,overcast clouds
279,Gigmoto,PH,13.7796,124.39,301.53,77,61,3.52,broken clouds
280,Boende,CD,-0.2167,20.8667,295.15,90,86,0.75,overcast clouds
281,Igrim,RU,63.1906,64.4162,273.35,98,100,2.98,snow
282,Khatanga,RU,71.9667,102.5,271.33,84,34,5.55,scattered clouds
283,Gizo,SB,-8.103,156.8419,302.36,70,26,1.35,scattered clouds
284,Ambanja,MG,-13.6833,48.45,301.16,72,76,0.73,broken clouds
285,Zhigalovo,RU,54.8097,105.1578,276.13,63,100,4.18,overcast clouds
286,Bubaque,GW,11.2833,-15.8333,298.29,69,65,7.16,broken clouds
287,Rocha,UY,-34.4833,-54.3333,287.25,94,38,2.28,scattered clouds
288,Dolores,AR,-36.3132,-57.6792,285.87,87,0,2.81,clear sky
289,Xinqing,CN,48.2333,129.5,286.2,27,99,0.38,overcast clouds
290,Travesia,HN,15.8667,-87.9,301.0,86,98,2.48,overcast clouds
291,Wageningen,NL,51.9667,5.6667,278.77,91,6,1.97,clear sky
292,Cochrane,CA,51.1834,-114.4687,281.6,75,75,5.66,broken clouds
293,Lagoa,PT,39.05,-27.9833,288.9,83,35,11.03,scattered clouds
294,Lazaro Cardenas,MX,17.9583,-102.2,297.39,74,98,1.8,overcast clouds
295,Makokou,GA,0.5738,12.8642,294.58,96,100,0.59,overcast clouds
296,Komsomolskiy,UZ,40.4272,71.7189,295.55,33,90,2.06,overcast clouds
297,Francisco Beltrao,BR,-26.0811,-53.055,286.33,96,1,1.17,clear sky
298,Lufilufi,WS,-13.8745,-171.5986,301.92,74,92,4.01,light rain
299,Cervo,ES,43.6702,-7.4101,287.78,89,98,1.61,overcast clouds
300,Nchelenge,ZM,-9.3451,28.734,292.34,76,92,3.25,overcast clouds
301,Nyuksenitsa,RU,60.4128,44.2397,279.92,94,100,3.24,overcast clouds
302,Castro,BR,-24.7911,-50.0119,288.44,98,88,1.99,overcast clouds
303,Pachino,IT,36.7186,15.0907,288.34,70,23,1.02,few clouds
304,Torres,BR,-29.3353,-49.7269,292.5,86,6,2.85,clear sky
305,Shirgaon,IN,19.7,72.7,303.24,50,5,3.88,clear sky
306,Grindavik,IS,63.8424,-22.4338,274.41,93,75,7.2,broken clouds
307,Mareeba,AU,-17.0,145.4333,298.55,77,31,3.45,scattered clouds
308,Kasempa,ZM,-13.4584,25.8338,289.82,69,44,3.62,scattered clouds
309,Sur,OM,22.5667,59.5289,302.0,59,13,2.92,few clouds
310,Bang Saphan,TH,11.2126,99.5117,305.9,55,100,3.91,overcast clouds
311,Enid,US,36.3956,-97.8784,283.24,97,100,5.66,overcast clouds
312,Laguna,US,38.421,-121.4238,295.23,59,0,2.06,clear sky
313,Zhangye,CN,38.9342,100.4517,286.62,18,100,9.88,overcast clouds
314,Vila Velha,BR,-20.3297,-40.2925,297.56,89,20,0.51,few clouds
315,Blind River,CA,46.1834,-82.9582,276.21,82,31,0.51,scattered clouds
316,Kalemie,CD,-5.9475,29.1947,295.96,83,99,0.95,light rain
317,Tiznit,MA,29.5833,-9.5,296.99,25,93,1.57,overcast clouds
318,Hollister,US,36.8525,-121.4016,288.93,79,0,0.0,clear sky
319,Inyonga,TZ,-6.7167,32.0667,292.34,85,90,2.55,overcast clouds
320,Changli,CN,39.7042,119.1506,295.67,40,57,8.1,light rain
321,Alofi,NU,-19.0595,-169.9187,298.09,94,100,4.63,light rain
322,Mutoko,ZW,-17.397,32.2268,289.59,72,7,1.22,clear sky
323,Antsohihy,MG,-14.8796,47.9875,301.21,69,5,2.09,clear sky
324,Lingao,CN,19.9103,109.6859,300.99,71,76,5.65,broken clouds
325,Bichura,RU,50.5881,107.6022,273.99,89,100,3.46,light snow
326,Ginir,ET,7.1333,40.7,292.18,74,20,1.8,light rain
327,Kamakwie,SL,9.5,-12.2333,297.97,81,83,1.18,broken clouds
328,Mocuba,MZ,-16.8392,36.9856,294.46,84,94,1.69,overcast clouds
329,Zhanaozen,KZ,43.3,52.8,291.94,64,70,1.63,broken clouds
330,Sakakah,SA,29.9697,40.2064,296.91,13,0,2.14,clear sky
331,Provideniya,RU,64.3833,-173.3,270.21,50,0,2.0,clear sky
332,Novyy Oskol,RU,50.7631,37.8691,288.3,60,81,4.48,broken clouds
333,Nuevo Progreso,MX,23.1667,-97.95,296.98,77,99,1.66,overcast clouds
