City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,San Policarpo,PH,2022-12-21 20:43:04,12.1791,125.5072,76.84,89,67,4.32
121,Torbay,CA,2022-12-21 20:43:05,47.6666,-52.7314,34.57,87,75,15.01
122,Los Llanos De Aridane,ES,2022-12-21 20:43:05,28.6585,-17.9182,64.15,78,0,7.0
123,Samarai,PG,2022-12-21 20:43:06,-10.6167,150.6667,82.85,77,91,7.83
124,Tsiroanomandidy,MG,2022-12-21 20:43:06,-18.7667,46.0333,68.13,93,90,1.79
125,Castro,BR,2022-12-21 20:43:07,-24.7911,-50.0119,67.26,75,33,6.33
126,Macas,EC,2022-12-21 20:43:07,-2.3167,-78.1167,80.35,61,40,10.36
127,Asau,RO,2022-12-21 20:43:08,46.4333,26.4,25.72,45,39,6.33
128,Saint-Pierre,RE,2022-12-21 20:43:08,-21.3393,55.4781,74.91,64,0,4.61
129,Port Elizabeth,ZA,2022-12-21 20:43:09,-33.918,25.5701,68.29,75,0,19.57
130,Alakurtti,RU,2022-12-21 20:43:09,66.9672,30.3491,8.33,99,100,2.15
131,Sungaipenuh,ID,2022-12-21 20:43:10,-2.0833,101.3833,63.41,79,100,2.06
132,Oranjemund,NA,2022-12-21 20:43:11,-28.55,16.4333,67.14,82,0,4.9
133,Hamilton,US,2022-12-21 20:42:15,39.1834,-84.5333,43.77,50,0,8.05
134,Linxia,CN,2022-12-21 20:43:11,35.6003,103.2064,18.45,58,14,3.15
135,Casper,US,2022-12-21 20:43:12,42.8666,-106.3131,-14.28,72,100,12.66
136,Sobolevo,RU,2022-12-21 20:43:12,54.4299,31.8996,33.48,98,100,13.24
137,Saint-Philippe,RE,2022-12-21 20:43:13,-21.3585,55.7679,74.79,76,100,7.36
138,Olinda,BR,2022-12-21 20:41:21,-8.0089,-34.8553,82.13,65,40,9.22
139,Udankudi,IN,2022-12-21 20:44:13,8.4333,78.0167,77.34,77,100,14.0
140,Dingle,PH,2022-12-21 20:44:14,10.9995,122.6711,73.99,92,72,4.05
141,Katsuura,JP,2022-12-21 20:44:14,35.1333,140.3,48.22,91,100,21.39
142,Kovdor,RU,2022-12-21 20:44:15,67.5662,30.4758,5.2,100,100,1.16
143,Port Lincoln,AU,2022-12-21 20:44:15,-34.7333,135.8667,62.2,86,28,5.23
144,Westport,US,2022-12-21 20:44:15,41.1415,-73.3579,40.98,62,0,6.91
145,Leningradskiy,RU,2022-12-21 20:44:16,69.3833,178.4167,4.06,79,2,9.86
146,Rosita,NI,2022-12-21 20:44:17,13.9268,-84.4032,86.52,51,38,6.22
147,Taoudenni,ML,2022-12-21 20:44:17,22.6783,-3.9836,70.77,24,0,15.1
148,Constitucion,CL,2022-12-21 20:40:52,-35.3333,-72.4167,67.26,63,0,10.02
149,Korla,CN,2022-12-21 20:44:18,41.7597,86.1469,18.21,56,0,1.9
150,Vigrestad,NO,2022-12-21 20:44:18,58.5667,5.7,42.58,89,97,14.5
151,Cabo San Lucas,MX,2022-12-21 20:43:34,22.8909,-109.9124,79.61,49,0,6.91
152,Oyon,PE,2022-12-21 20:44:19,-10.6681,-76.7731,51.98,84,99,6.49
153,Yerbogachen,RU,2022-12-21 20:44:20,61.2767,108.0108,-1.41,95,99,7.23
154,Misratah,LY,2022-12-21 20:44:20,32.3754,15.0925,62.02,66,1,10.56
155,Egvekinot,RU,2022-12-21 20:44:21,66.3167,-179.1667,0.57,70,0,12.53
156,Wajir,KE,2022-12-21 20:41:35,1.7471,40.0573,85.08,40,89,13.31
157,Diu,IN,2022-12-21 20:44:21,20.7141,70.9822,72.0,32,0,6.69
158,Alofi,NU,2022-12-21 20:44:22,-19.0595,-169.9187,82.29,74,40,12.66
