,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,San Vicente,AR,287.84,scattered clouds,-26.6167,-54.1333,Los Lapachos
181,Ancud,CL,280.88,overcast clouds,-41.8697,-73.8203,Cabañas
183,Komatipoort,ZA,295.9,clear sky,-25.4332,31.9548,Ecolux Boutique Hotel
185,Jumla,NP,291.37,overcast clouds,29.2747,82.1838,Amar Sandesh Guesthouse
186,Savannah Bight,HN,299.86,broken clouds,16.45,-85.85,La Giralda
189,Nemuro,JP,280.89,clear sky,43.3236,145.575,イーストハーバーホテル
192,Esperance,AU,289.08,overcast clouds,-33.8667,121.9,Hospitality
193,Sao Gabriel Da Cachoeira,BR,295.78,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
194,Lompoc,US,285.23,fog,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
196,Prestea,GH,297.19,overcast clouds,5.4327,-2.1428,Akapii Hotel
198,Saint George,US,294.48,clear sky,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
201,Anadyr,RU,266.43,clear sky,64.75,177.4833,Гостевой дом
203,Te Anau,NZ,282.35,clear sky,-45.4167,167.7167,Distinction Hotel
204,Chiredzi,ZW,294.22,clear sky,-21.05,31.6667,Nesbitt Arms Hotel
205,Avarua,CK,297.18,light rain,-21.2078,-159.775,Paradise Inn
207,San Cristobal,VE,294.25,scattered clouds,7.7669,-72.225,Terra Sur
208,Yeniseysk,RU,277.41,overcast clouds,58.4497,92.1703,Отель Енисейский
211,Sorland,NO,275.07,light rain,67.667,12.6934,Fagmek Resorts
212,Lithakia,GR,286.8,few clouds,37.7167,20.8333,Κούκλα Μάρε
215,Souillac,MU,299.36,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
216,Sayaxche,GT,298.11,overcast clouds,16.5167,-90.1667,Hotel aqua azul
217,Xuanwu,CN,298.12,scattered clouds,32.069,118.8138,金陵之星大酒店
218,Aragarcas,BR,296.01,overcast clouds,-15.8975,-52.2508,Hotel Portal da Praia
219,Pangnirtung,CA,270.18,overcast clouds,66.1451,-65.7125,Auyuittuq Lodge
220,Ahipara,NZ,288.78,overcast clouds,-35.1667,173.1667,YHA Ahipara
221,Coquimbo,CL,287.0,overcast clouds,-29.9533,-71.3436,Hotel Iberia
228,Clarence Town,AU,297.1,few clouds,-32.5833,151.7833,Erringhi Hotel
229,San Rafael,AR,288.75,overcast clouds,-34.6177,-68.3301,Hotel Regional
231,Vardo,NO,276.14,broken clouds,70.3705,31.1107,Meieriet
236,Narsaq,GL,275.27,light rain,60.9167,-46.05,Hotel Narsaq
239,Mayumba,GA,298.51,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
240,Mkushi,ZM,290.24,broken clouds,-13.6202,29.3939,Shalom Lodge
242,Liepaja,LV,279.14,clear sky,56.5419,21.0367,Hotel Liepāja
243,Moerai,PF,298.31,light rain,-22.4333,-151.3333,Manotel Rurutu
244,Monrovia,LR,298.02,overcast clouds,6.3005,-10.7969,Bella Casa Hotel
245,Ponta Delgada,PT,290.55,light rain,37.7333,-25.6667,Hotel Talisman
247,Tabou,CI,298.82,overcast clouds,4.423,-7.3528,hôtel le rochet
251,Changde,CN,291.96,overcast clouds,29.0464,111.6783,Sheraton Changde Wuling Hotel
252,Springbok,ZA,285.64,overcast clouds,-29.6643,17.8865,Elkoweru Guesthouse
253,Port Lincoln,AU,292.32,scattered clouds,-34.7333,135.8667,Boston Hotel
254,Sao Joao Da Barra,BR,295.97,few clouds,-21.6403,-41.0511,Pousada Mediterrâneo
256,Mount Gambier,AU,293.34,scattered clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
257,Zhigansk,RU,276.31,overcast clouds,66.7697,123.3711,ИП Пав
259,Carnduff,CA,276.69,broken clouds,49.1667,-101.8009,Avonmore Hotel & Motel
260,Ilulissat,GL,271.16,mist,69.2167,-51.1,Best Western Plus Hotel Ilulissat
262,Yulara,AU,299.59,overcast clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
265,Mindelo,CV,294.9,few clouds,16.8901,-24.9804,Solar Windelo
266,Atlantic City,US,285.37,broken clouds,39.3643,-74.4229,Hard Rock Hotel and Casino Atlantic City
267,Sinnamary,GF,297.7,moderate rain,5.3833,-52.95,Hôtel du fleuve
269,At-Bashi,KG,285.47,overcast clouds,41.1702,75.8106,Tash Rabat
272,Igarka,RU,270.39,overcast clouds,67.4667,86.5833,Заполярье
274,Oia,PT,290.44,overcast clouds,40.5426,-8.5386,Residencial Ferpenta
275,Bocicoiu Mare,RO,278.85,few clouds,47.9667,24.0,Твін Пікс
277,Broken Hill,AU,299.23,scattered clouds,-31.95,141.4333,Ibis Styles
281,Igrim,RU,273.35,snow,63.1906,64.4162,Факел
282,Khatanga,RU,271.33,scattered clouds,71.9667,102.5,Хатанга
285,Zhigalovo,RU,276.13,overcast clouds,54.8097,105.1578,Лена-ТУР
286,Bubaque,GW,298.29,broken clouds,11.2833,-15.8333,Chez Julio
287,Rocha,UY,287.25,scattered clouds,-34.4833,-54.3333,Hotel Municipal
288,Dolores,AR,285.87,clear sky,-36.3132,-57.6792,Plaza Hotel
291,Wageningen,NL,278.77,clear sky,51.9667,5.6667,Hotel De Wereld
292,Cochrane,CA,281.6,broken clouds,51.1834,-114.4687,Rockyview Hotel
293,Lagoa,PT,288.9,scattered clouds,39.05,-27.9833,Casa da Madrinha
294,Lazaro Cardenas,MX,297.39,overcast clouds,17.9583,-102.2,Hotel Sol del Pacífico
296,Komsomolskiy,UZ,295.55,overcast clouds,40.4272,71.7189,"Hotel ""Ikat House"""
299,Cervo,ES,287.78,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
302,Castro,BR,288.44,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
303,Pachino,IT,288.34,few clouds,36.7186,15.0907,Hotel Celeste
304,Torres,BR,292.5,clear sky,-29.3353,-49.7269,Residencial Medusa
306,Grindavik,IS,274.41,broken clouds,63.8424,-22.4338,The Retreat at Blue Lagoon Iceland
307,Mareeba,AU,298.55,scattered clouds,-17.0,145.4333,The Gateway Hotel
308,Kasempa,ZM,289.82,scattered clouds,-13.4584,25.8338,Kasmpa Council Guest House
312,Laguna,US,295.23,clear sky,38.421,-121.4238,Holiday Inn Express & Suites
313,Zhangye,CN,286.62,overcast clouds,38.9342,100.4517,Zhangye Hotel 张掖饭店
314,Vila Velha,BR,297.56,few clouds,-20.3297,-40.2925,Hotel Prainha
316,Kalemie,CD,295.96,light rain,-5.9475,29.1947,Hotel du Lac
318,Hollister,US,288.93,clear sky,36.8525,-121.4016,Joshua Inn Bed & Breakfast
319,Inyonga,TZ,292.34,overcast clouds,-6.7167,32.0667,Mikumi Lodge
320,Changli,CN,295.67,light rain,39.7042,119.1506,客房
330,Sakakah,SA,296.91,clear sky,29.9697,40.2064,فندق النزل
332,Novyy Oskol,RU,288.3,broken clouds,50.7631,37.8691,Белогорье
334,Oistins,BB,299.2,scattered clouds,13.0667,-59.5333,The Abidah By Accra
335,Altay,CN,286.24,scattered clouds,47.8667,88.1167,Sunshine Holiday Hotel
